,userName,score,at,content
15,Pengguna Google,5,2026-09-02 16:23:55,pelayanan grab hingga saat ini sudah baik namun saya menyampaikan hal berikut 1 jika pengguna memilih pengantaran standar sebaiknya pengemudi tidak melayani banyak pesanan yang mengakibatkan pesanan terlambat tiba pengemudi dapat melayani lebih dari satu pesanan jika pengguna memilih pengantaran hemat 2 di beberapa tujuan pilihan grabbike tidak tersedia aplikasi langsung mengarahkan ke grabcar padahal di tempat tujuan itu sangat memungkinkan untuk diantar dijemput dengan grabbike
16,Pengguna Google,1,2026-09-02 15:22:37,jadi jelek gini haru verivikasi kpt kayak mau hutang aja aneh
17,Pengguna Google,1,2026-09-02 15:13:10,plis kerja sama pembayaran nya jgn sm ovo males banget udh ada adm nya masih d potong lg 2rb sebel bgt kan
18,Pengguna Google,1,2026-09-02 14:37:34,ditolak 6 sama driver ojek udah gitu saya tungguin sampe dia turunin orang eh malah di batalin tolong perbaiki lagi sistemnya terimakasih
19,Pengguna Google,1,2026-09-02 14:31:01,aplikasi gak guna udah di kasih tau lokasi bandara gak tau jir aplkasi tolol
20,Pengguna Google,5,2026-09-02 13:03:02,ya semoga lancar tida banyak kendala aku baru maumasuk
21,Pengguna Google,1,2026-09-02 12:53:05,saran untuk pembayaran via uang elektronik misalnya ovo penumpang atau penyewalah yg berhak memasukan angka rupiah yg harus dibayar diluar biaya aplikasi misalnya tol parkir dan lainnya sertakan juga tombol verifikasi di pengemudi apabila sudah sesuai angkanya yg dimasukkan oleh penumpang karena sering terjadi misalnya saya harus bayar tol itu 50rb tetapi yg mereka pengemudi masukan adalah angka yg tidak sesuai misalnya 100rb jadi lebih baik ada dua vitur yg untuk saling verifikasi
22,Pengguna Google,5,2026-09-02 12:45:59,aing hayang dahar aing hayang dahar
23,Pengguna Google,4,2026-09-02 11:45:42,ada alamat yang tidak sesuai tapi titiknya sudah tepat
24,Pengguna Google,5,2026-09-02 11:32:13,daging nya sikit tp mantap cepat waktu
25,Pengguna Google,5,2026-09-02 09:38:26,bagus pelayanan nya dapat promo jg s p
26,Pengguna Google,5,2026-09-02 09:34:00,sarankan setiap driver benar benar menggunakan kendaraan yang sehat dan nyaman mohon penjemputan jangan kasih yang jauh klo yang dekat banyak pada nganggur ngapain harus yang jauh jemputnya kasihan driver kasihan yang nunggu ini jakarta broo muacetnya ampun ampun bukan mslh jarak tapi mace alhamdulillah semoga ada perbaikan
27,Pengguna Google,3,2026-09-02 09:25:02,mobil2 seharus nya kebersihan dijaga min kotor banget sama bau rokok harus selalu ditinjau min biar semakin joss
28,Pengguna Google,5,2026-09-02 08:57:43,sangat berguna sekali ketika semua sedang sibuk
29,Pengguna Google,1,2026-09-02 07:33:16,ga jelas apk ni bru pesen ga bisa di batalin salah pencet juga ga bakal pakai lo lagi
30,Pengguna Google,1,2026-09-02 06:50:38,kalo ngasih paket hemat ngotak dikit kalo semial selisihnya 10 rb driver bakal ga mau ambil hemat
31,Pengguna Google,1,2026-09-02 06:10:22,saya saranin jangan pakek aplikasi ini teman teman kurirnya pada gak jelas udah report dics malah gak jelas
32,Pengguna Google,1,2026-09-02 05:28:41,sy pakai grab lebih dr 5 thn tp selalu bermasalah klo kontak pengemudi setelah selesai grab memang set up komunikasi ga bagus repot bgt koneksinya ini cuman masalah it klo koneksinya separah ini kresek2 ga jelas telp sy pakai grab ga cuman 1 3 juta per bulan klo pas event smua nya ke grab food sy punya car ke grab car rent sy sdh bertahun2 pakai grab sy kecewa liar biasa ga bs kontak grsb operator dikasi grab chat bot melulu memang mengecewakan
33,Pengguna Google,1,2026-09-02 01:49:21,saran misalkan driver lama jemput atau ambil pesanan langsung otomatis ganti driver jangan malah ttap nunggu tanpa bisa di cancel
34,Pengguna Google,3,2026-09-02 01:48:08,sekarang driver nya selalu minta uang lebih setiap pesen sesuatu atau mau pesen grabbike kalo gak di lebihin gak di terima bukan masalah ngasih lebih nya tapi keseringan tiap pesen makan atau grab bike pasti pengemudi nya chat dulu pengen di lebihin kalo enggak suka gak jalan jalan terus kita yang batalin
35,Pengguna Google,1,2026-09-02 01:02:57,jelek hai kak adik ibu bapak msu beli obat kesehatan cuma di apotek guna sehat jalan raya kuta bumi tangerang depan dan dan mulai 10 00 sampe jam 16 00 sore tinggal bayar parkir motor 2 mobil 5
36,Pengguna Google,1,2026-09-02 00:07:48,saya keberatan bila harus difoto oleh driver saat menerima barang dan makanan
37,Pengguna Google,1,2026-09-01 23:39:11,bisa gak sih untuk driver gofood servicenya di terapin alamat saya sudah sesuai titik tapi malah nyalahin saya dan marah ke saya padahal saya beli lohh
38,Pengguna Google,1,2026-09-01 23:37:57,saya minta tolong ya buat driver maupun pengguna aplikasi ini mohon diterbitkan kembali lalu lintas nya sering kali pengendara lawan arah dan tidak taat peraturan lalu lintas
39,Pengguna Google,1,2026-09-01 22:53:15,aplikasi tak berguna harga makin naik gak jelas
40,Pengguna Google,5,2026-09-01 22:30:07,aplikasi yang praktis untuk kebutuhan transportasi pesan makanan dan berbagai layanan lainnya proses pemesanan mudah dan sangat membantu aktivitas sehari hari
41,Pengguna Google,5,2026-09-01 21:32:29,grab bikin hidup jadi gampang pesan ojek cepat drivernya profesional dan pesan makanan datang masih panas aplikasinya lancar dan promonya worth it banget nomor 1 buat transportasi dan delivery
42,Pengguna Google,1,2026-09-01 20:52:11,map yang tidak sesuai dgn aslinya terlalu acak acakan jarak yg tertulis pda toko tiba tiba berubah saat ingin meng order dari 6 7km berubah menjadi 10km
43,Pengguna Google,1,2026-09-01 20:35:47,so bad selalu kaya loading lama bilang g ada sinyal sy pke telkomsel dan masih aj loading lama pdhl buka youtube lancar tolong dibenahi
44,Pengguna Google,1,2026-09-01 20:34:32,apk ga jelas ditrima nunggu lama tiba tiba dicancel ga hanya satu dan bahkan harga dua kali lipat dari gojek
45,Pengguna Google,1,2026-09-01 20:29:07,pesen makanan lebih dari 1 jam 30 menit padahal dari tokonya udh siap tapi drivernya gada kalau ga siap benerin dulu sistemnya
46,Pengguna Google,1,2026-09-01 20:12:53,kebanyakan update aplikasi trus seharusnya banyakin promo makanan nya
47,Pengguna Google,1,2026-09-01 20:11:24,pls tambahin fitur komunikasi ke penjual ini komunikasi gk bisa batalin gk bisa penjual seenak jidatnya aja trus juga ada promo gratis ongkir seneng dong gw gw teken tiba tiba alamat pesanan berubah ke tempat yang jual gw di suruh jemput sendiri anjirr mana drivernya ambil kesempatan cuma 1km dia bilang ongkirnya 25k kalo mau tetap di anter ini niat kasih diskon gk si pikir gw bakal hemat 5k malah tekor 25k anjir
48,Pengguna Google,1,2026-09-01 20:06:01,kesimpulan tes ke 5 pagi jam orang berangkat kerja 80 menit tidak ada orderan yang masuk jam orang pulang kerja 60 menit tidak ada orderan yang masuk apakah benar orang orang banyak yang tidak suka pakai aplikasi grab dan benarkah kualitas sdm di kantor grab itu rendah jawaban dari hasil tes adalah benar coming soon these tests will be available on social media
49,Pengguna Google,2,2026-09-01 19:32:00,aplikasian kandang grab mobil hilang kadang kadang grab motor hilang
50,Pengguna Google,4,2026-09-01 18:37:42,e aplikasi yang sangat membantu ya lumayanlah
51,Pengguna Google,1,2026-09-01 17:53:07,aplikasi terlalu berat dan tidak smooth
52,Pengguna Google,1,2026-09-01 16:21:20,jelek setiap pesan makanan driver selalu membatalkan sering kali pesen tapi selalu di batalkan
53,Pengguna Google,1,2026-09-01 15:29:38,lama buat daftar buat alamatnya pun susah bgt ribet
54,Pengguna Google,1,2026-09-01 15:05:10,tidak memiliki tanggung jawab saya kecelakaan dan tidak ada asuransi yang bisa di percaya proses lama disuruh reupload jelas jelas gue udah melengkapi smua dokumen tambahan yang diminta baru tau orang kecelakaan malah di susahkan begini jangan pake grab scam
55,Pengguna Google,5,2026-09-01 14:55:47,permasalahan sudah selesai kembali bintang 5 prosesnya bagus semoga dipertahankan yang kurangnya diperbaiki terbaik lah
56,Pengguna Google,1,2026-09-01 13:29:01,grab sekarang kenapa mahal banget padahal jarak cuman 1 kilo doang saya biasa naik gojek 8 pas naik grab jadi 12 malah banget
58,Pengguna Google,1,2026-09-01 13:04:01,driver ga niat masa jauh dikit gamau nganterin gausah kerja aja sih lo mending jadi pengamen sana
59,Pengguna Google,5,2026-09-01 12:20:55,ok good btw paylater kapan ini bisa
60,Pengguna Google,5,2026-09-01 11:50:38,responsif terhadap keluhan dan cepat membantu
61,Pengguna Google,1,2026-09-01 11:43:41,bisa tidak ubah verifikasi wajah nya itu di nonaktifkan saya mau pesan grab wajib verifikasi wajah sedangkan hp saya rusak jadi tidak bisa verifikasi wajah
62,Pengguna Google,5,2026-09-01 11:21:25,berguna banget untuk aktifitas pulang kerjan sekolah
63,Pengguna Google,5,2026-09-01 10:37:36,sangat membantu ketika jauh dari kendaraan umum
64,Pengguna Google,5,2026-09-01 09:48:07,sangat menyenangkan tapi suka lama buka aplikasi alis eror
65,Pengguna Google,1,2026-09-01 09:15:04,beberapa pembayaran grab hanya ovo yg dipalakin hanya untuk nerima uang diaplikasinaya benar2 nyusahin
66,Pengguna Google,5,2026-09-01 09:04:51,pengen cepet ketempat yg km tuju pakelah grab karna layanannya baik sekali
67,Pengguna Google,5,2026-09-01 07:55:09,terimakasih atas jasanya sukses selalu kak
68,Pengguna Google,2,2026-09-01 04:16:29,emng grab gabisa batalin pesanan ya kayak shope cuma pihak driver yang bisa batalin cus gabisa masak aku baru pesan makanan terus mau dibatalin gabisa
69,Pengguna Google,1,2026-09-01 00:28:46,susah bgt dapat driver nya pesan food sampe berjam2 gak ada yang ambil dah ongkirnya mahal auto uninstal bagus pakai aplikasi hijau sebelah
70,Pengguna Google,5,2026-08-31 23:48:32,grap selalu jadi pilihan tepat saat dibutuhkan ketujuan
71,Pengguna Google,2,2026-08-31 20:48:13,klau ga updet amburadul ygd cari apa yg kluar apa wkwkw
72,Pengguna Google,1,2026-08-31 20:33:57,seharusnya grab food pakai konfirmasi dua belah pihak tadi driver klik sudah sampai padahal belum sama sekali lama dia antarnya ini bisa berbahaya bagi pelanggan
73,Pengguna Google,5,2026-08-31 20:16:03,pengantarnya baik ramah dan sangat memuaskan
74,Pengguna Google,5,2026-08-31 19:57:05,grab layak untuk perjalanan kemanapun selalu tepat waktu
75,Pengguna Google,5,2026-08-31 19:51:36,baik sekali mantap sangat ramah terimah kasih
76,Pengguna Google,4,2026-08-31 19:42:45,pengendara datang cepat dan tepat waktu
77,Pengguna Google,5,2026-08-31 18:21:56,sesuai pesanan yg ngantar sabar dan ramah
78,Pengguna Google,1,2026-08-31 18:10:07,saya butuh cepat urgent mau bawa keluarga ke rumah sakit gak dapat driver yang dekat
79,Pengguna Google,1,2026-08-31 17:37:06,tambahkan pilihan cancel karena ini terlalu merugikan
80,Pengguna Google,2,2026-08-31 16:49:25,setelah d update ko jd loadingnya lama y
81,Pengguna Google,5,2026-08-31 15:19:21,bagus pelayanan ny cmn yg paling g bagus itu pas hujan eror dan harga nge lonjak pdhl lokasi dekat
82,Pengguna Google,3,2026-08-31 15:06:00,aplikasinya ada menu tambahan tentang no darurat yg bikin mengganggu saat pengoprasian
83,Pengguna Google,1,2026-08-31 14:44:11,gila grab ini loading dapet driver lama banget belum lagi harus nunggu driver nya buat datang harus diperbaiki lagi apk grab nya
84,Pengguna Google,1,2026-08-31 13:25:05,grab anj sumpah mana tambah mahal pdhl lg ga macet
85,Pengguna Google,1,2026-08-31 12:43:32,grab ga siap bersaing dengan ojek online daerah lokal misalnya di kota sibolga punya 2 akun atau lebih dilarang padahal tidak ada aturan baku tertulis
86,Pengguna Google,3,2026-08-31 11:25:22,dlu senang pake grabfood skrang sejak ada biaya pengiriman yg d sesuaikan dgn waktu jd malas kocak aja toko dekat estimsi sampe bisa 1 1 5 jam pdhal yg dbeli fasfood kocak
87,Pengguna Google,5,2026-08-31 09:29:34,pernai pakai grab ini waktu di malasyia enak nyaman past di indonesia ngak ada yg buat grab ternyata
88,Pengguna Google,4,2026-08-31 08:51:50,sangat membantu dalam ber tranportasi umum
89,Pengguna Google,1,2026-08-31 08:42:12,makin banyak biaya ini itu ga jelas apa apaan ada biaya platform ga guna udah meres customer meres driver juga
90,Pengguna Google,4,2026-08-31 07:18:17,setiap jam 7 pagi dan 7 malam saya selalu pesan grab buat antar jemput karyawan tapi saat hujan harganya naik 5x dari biasanya tetap tidak dapat driver jadi karyawan saya selalu telat saat berangkat atau pulang kerja tolong dong saya sudah bikin 3 akun pakai hp karyawan tapi tetap ada kendala
91,Pengguna Google,5,2026-08-31 06:55:45,sangat membantu saat tidak tau alamat yg susah dijangkau
92,Pengguna Google,5,2026-08-31 05:48:12,bagus tepat waktu atribut nya bagus besrih wangi
93,Pengguna Google,5,2026-08-31 02:32:49,aplikasi yang membantu orang dalam kebutuhan
94,Pengguna Google,1,2026-08-31 02:31:15,gila nunggu grab food sampai 2 jam ngak sampai sampai makanan nya
95,Pengguna Google,1,2026-08-30 22:41:52,tanpa kejelasan yg jelas tiba akun ditangguhkan pake cara apapun smpe lapor customer servicee ga ditanggapii sama sekali
96,Pengguna Google,1,2026-08-30 22:37:43,mode jastip tidak bisa di cancel setang jadi terpaksa di antar padahal ada masalah jadi mau cancel tambah masalah saja
97,Pengguna Google,1,2026-08-30 22:07:47,makin banyak iklan makin banyak notifikasi bahkan saat aplikasi sudah ga dipake ribe sangat mengganggu
98,Pengguna Google,1,2026-08-30 21:57:54,sering banget tiba tiba lemot ga jela
99,Pengguna Google,1,2026-08-30 21:48:27,sumpah anjir ga driver ga app lama
100,Pengguna Google,1,2026-08-30 21:42:37,udh 4x pesen grab food makanan telat semua kompensasi cuma 15rb itu cuma 1x aja makanan datang jadi dingin semua gausah pake grab kalo mau pesen makan
101,Pengguna Google,3,2026-08-30 20:58:30,rasa martabak manisnya standart seperti kebanyakan martabak pinggir jaaln lain ukuran adonan cenderung kecil dan isian topping agak pelit
102,Pengguna Google,5,2026-08-30 20:54:48,manta banyak promo di tanggal gajian
103,Pengguna Google,1,2026-08-30 20:16:52,pesen makanan ampun ampun sama kelen sekarang y lamanya allahuakbar udah ongkir 42rb wkwkwkwkwkw
104,Pengguna Google,2,2026-08-30 20:02:52,benar2 kecewa ini aplikasinya tiap pesan makanan lama banget dapat drivernya udah gitu pesan gofood bisa dua jam lebih baru datang dan selalu seperti itu belum lagi drivernya ngantar banyak orderan promonya juga udah makin sedikit
105,Pengguna Google,1,2026-08-30 19:35:58,susa dapet driver grabfood sekalinya ada luemo cs kayak bot ga ngasih solusi
106,Pengguna Google,2,2026-08-30 19:23:46,tolong lock bagian reject kalaupun misal di reject tolong sertakan alasan driver agar konsumen tau knp di reject
107,Pengguna Google,1,2026-08-30 18:58:36,pesanan baru masuk drivernya langsung dateng itu gimana sih jadi nya kan minta didulukan
108,Pengguna Google,1,2026-08-30 18:27:08,salah pesan makanan malah gk bisa di cancel bangke
109,Pengguna Google,1,2026-08-30 17:42:51,an driver grab lukman efendi tlh melakukan penipuan mengantar paket sembako dg alesan paket di tolak pembeli padahal driver tsb tdk ngsh kbr tlp maupun wa tlng dr pihak grab segera mungkin ksh sanksi terhadap driver lukman efendi sy sbg korban penipuan driver tsb kejadian tgl 30 agustus 2026 jam 16 18 wib jd minta ketegasan dr atasan grab sy sbg costumer kecewa berat ats pelayanan grab sngt buruk
110,Pengguna Google,5,2026-08-30 17:33:37,sangat membantu menjadikan perjalanan kami cepat aman dan nyaman
111,Pengguna Google,3,2026-08-30 15:54:45,aplikasi ny sih bagus cuma driver ny itu loh kadang dapet driver super lelet pdhl sudah dekat tpi di chat ga dibalas mau ny apa sih tolong hargai waktu penumpang ya sy nungguin setengah jam ga sampe pdhl estimasi sampai ny 4 menit klo gamau jemput bilang biar sy ga capek nunggu
112,Pengguna Google,1,2026-08-30 15:10:21,driver gamau ngambil pesanan terus kasih sp dong
113,Pengguna Google,1,2026-08-30 14:23:41,sistem pengantaran makanan yang buruk pengemudi diberikan banyak beban untuk mengantar makanan pada titik titik yang jauh makanan datang sudah dingin yang sesuai jadwal awal makanan seharusnya bisa datang sebelum jam 2 baru sampai 30 menit lebih dari jam awal
114,Pengguna Google,1,2026-08-30 13:59:32,kenapa ongkir grabfood naik banget bisa sampe 5x lipat 2k ke 10k 4k ke 20k
115,Pengguna Google,1,2026-08-30 12:39:20,selama ini aku suka bngt pke apk grab loh sblm grab msk indonesia aku dh pke grab d luar negri dan slma ini g prnh ktemu driver yg bnr kurg ajarnya bnr kurg ajar bngt apa grab skrg klu nerima driver asal an ya di bilangin arah jalan mksd hati baik biar lbh dkt dan tdk prlu buang bensin nya utk prjlnan lbh jauh dan macet ni dksh tau baik ya sprt dlma ini kmnksi saya dgn drver lainnya d rmbah ni driver td pagi buta arah jalan dia mlah ngamuk suruh saya turun 0 attitudenya
116,Pengguna Google,1,2026-08-30 12:18:28,kebanyakan update lg genting mau mesen grabbike aja update dlu
117,Pengguna Google,5,2026-08-30 10:01:51,ramah dan tepat waktu sangat memuaskan
118,Pengguna Google,1,2026-08-30 09:28:47,mengapa app saya di sekat sedangkan hari itu saya ambik grab saya tunggu di jambatan 10 dia grab tunggu di jambatan 6 habis saya yg di salahkan ada juga satu hari saya ambik grab saya tunggu lama dengan menjaga nombor grab yg saya ambik sekali pulak lain nombor grab yg datang ambik saya sehingga saya x dapat ikut tapi saya juga di persahkan dan di sekat di denda bayaran saya minta pihak grab jangan sekat telefon saya sekarang saya mahu ikut grab x boleh sebab di sekat terpaksa maxim
119,Pengguna Google,5,2026-08-30 09:25:46,drever yg ramah juga tdk arogan jikala menyetir sukses buat driver nya
120,Pengguna Google,1,2026-08-30 08:47:00,udah buang duit langganan grab unlimited mlah g bisa d pke
121,Pengguna Google,5,2026-08-30 08:44:21,bapak drivernya sangat ramah nyaman saat perjalanan
122,Pengguna Google,1,2026-08-30 07:09:44,aplikasi aneh pesen 1 grab motor gak lama dateng lagi 1 motor dengan tujuan yg sama padahal gak order lagi
123,Pengguna Google,1,2026-08-30 05:54:46,woii grab kalo ngasih petunjuk maps yang benerr don kasiann driver nyaa saya ngalamin ini udah 5 kali lebihh driver selalu jemput saya salah titik
124,Pengguna Google,3,2026-08-30 03:42:14,saya akan melakukan pembelian token pln dan memilih pembayaran ovo hanya saja saldo saya kurang tapi malah sudah masuk ke status pembayaran dan akan di refres otomatis dalam 24jam fikirian saya pasti akan gagal karena saya tidak ada saldo di ovo dan setelah itu saya bisa melakukan pembayaran ulang tapi sampai sekarang statusnya masih di proses mau melalukan pembayaran juga tidak bisa mohon di bantu
125,Pengguna Google,1,2026-08-30 00:28:09,mengecewakan baru kali ini ketemu grab yang mobil nya ga dingin ac nya padahal pesen yang standard bukan hemat saya kira cuma aplikasi sebelah aja yang driver nya kadang sesuka nya disini juga sama mungkin hari ini lagi apes ketemu driver yang mobil nya gak dingin ac nya kecewa parah lah kalau hemat masih bisa di maklumi soalnya argo nya kecil lah saya pesen standard tapi rasa hemat kacau ini mah bukan kicau
126,Pengguna Google,1,2026-08-29 23:58:23,sopir nya kalo malem pada males ngambil grab food mungkin driver nya sdh pada kaya
127,Pengguna Google,1,2026-08-29 21:52:16,jaringan ketika buka aplikasi sering tidak stabil padahal buka aplikasi lain normal aja
128,Pengguna Google,1,2026-08-29 21:41:23,banyak driver di awal minta nembak harga 50 naik lebih besar di aplikasi dengan alasan jemput jauh padahal kita sesuai titik
129,Pengguna Google,5,2026-08-29 19:57:15,tetap semangat berjuang untuk masyarakat yang ingin bekerja
130,Pengguna Google,1,2026-08-29 19:54:24,jelek bgt ovo nya g bisa dipake bintang 1 masa mau qris kgk bisa payah
131,Pengguna Google,5,2026-08-29 19:45:46,bagus aku bisa ke mana mana aja tinggal mesen
132,Pengguna Google,5,2026-08-29 18:53:09,pakai grab bayar dengan ovo super bank praktis
133,Pengguna Google,1,2026-08-29 18:53:08,mines orang baru gatau jalan sok daftar grab
134,Pengguna Google,5,2026-08-29 18:13:20,bagus untuk menghemat waktu dan buat pemalas naik honda
135,Pengguna Google,4,2026-08-29 17:55:01,pas saya pesen makanan ternyata dibatalin sama drivernya dan aplikasi grab sangat lama dalam mencari driver pengganti
136,Pengguna Google,1,2026-08-29 17:41:56,tolong diperbaiki lg grab food nya masa buat cancel makanan aja susah amat sampe saldo ku ludes heug
137,Pengguna Google,1,2026-08-29 14:48:52,gajelas bgt maps nya tujuan kemana malah alamat yg ada dimana ga komplitt
138,Pengguna Google,1,2026-08-29 13:33:04,aku mau pesenin makanan buat adekku di grabfood masa pembayarannya ga bisa tunai qriss pengemudi giliran udah bisa di klik ngga bisa di pesan udah di klik yang tulisan pesan tapi masih di halaman check out terus payah banget harus pake yang direkomendasikan sama aplikasi doang kan ngga semuanya punya ewallet itu
139,Pengguna Google,5,2026-08-29 12:14:04,alhamdulillah pengantaran tepat waktu dan sampai di depan pintu rumah
140,Pengguna Google,5,2026-08-29 11:40:45,overall bangus cuman mungkin bisa di ringankan lagi apknya buat pengguna ho ram 3gb kebawah semangat grab
142,Pengguna Google,5,2026-08-29 10:04:55,pokoknya abang2 grabnya fast respon sukses buat keluarga besar grab ya
143,Pengguna Google,5,2026-08-29 09:46:49,bisa beli makanan atau minuman tanpa beli di warung atau toko nya langsung
144,Pengguna Google,1,2026-08-29 09:12:53,tolong ini kenapa ya saya sudah bayar pake ovo kenapa disuruh bayar lagi 200 ribu ini kesalahan dari grabnya atau drivernya gk mungkin kan saya belum bayar tapi udh bisa mgasih bintang 5 ke driver tolong ini gimana
145,Pengguna Google,1,2026-08-29 08:21:24,sangat kecewa hari ini 2 pamandu batalkan pesanan saya dgn alasam yg ydak maauk akal c p ke grace quart
146,Pengguna Google,5,2026-08-29 07:33:39,sangat menyenangkan dan peraktis pake grab
147,Pengguna Google,4,2026-08-29 05:38:22,untuk grab tolong dong ada fitur tambahan seperti drivernya laki2 perempuan untuk bisa mempermudah kaum muslimah jika ingin berpergian
148,Pengguna Google,1,2026-08-29 03:12:03,beberapa driver ada yang suka tipu penumpang karena ga ngerti saya salah satunya yg kena apes saya pesan grab dari rumah ke indogrosir memang jaraknya jauh tapi dapat promo potongan harga dari 23rb ke 11rb driver ambil pesanan saya saat drivernya tau harganya 11rb saya hampir di turunkan di jalan pas sampai di indogrosir saya terpaksa bayar 23rb karena saya di tahan lama saya ada hubungin cs grab tapi solusi yg di kasih ga bisa mengembalikan uang saya dan drivernya ga di banned
149,Pengguna Google,1,2026-08-29 01:23:15,aplikasi buruk banyak pengemudi terlalu sering membatalkan seenaknya bahkan tanpa konfirmasi
150,Pengguna Google,1,2026-08-29 00:04:07,saya bintangin 1 males paylater ga bisa daftar males buang2 waktu saya ngajuin
151,Pengguna Google,1,2026-08-28 23:55:42,sekarang layanan grebfood nya jelak banget udah di ambil drever secara aplikasi nunggu 30 menitan tau nya di batalin sesuka hati nunggu lagi drever selanjut nya makin parah layanan nya sekarang jelak bgt
152,Pengguna Google,1,2026-08-28 23:11:24,terkusus buat kantor grab indonesia saya ingin mimpintak tanggu jawabnya gara kalian saya di di cabut surat izin supir travel jadinya saya mau mintak nganti rugih sebesar 3 jt rupih kepada kantor grab dari tanggal 10 agustus sampai sekarang gak ada kabar yang baiknya dan masak garagara kalian saya terugihkan jadinya saya ingin etika baiknya di jaga sekian terimakasi
153,Pengguna Google,5,2026-08-28 21:51:53,aplikasi ini bagus untuk buat pulang pergi dengan grab
154,Pengguna Google,1,2026-08-28 21:20:53,aplikasi menjajah mitra dengan menerapkan argo murah tapi potongan besar banget kalian ga mau rugi tapi mitra driver yg disuruh menanggung rugi tsb
155,Pengguna Google,5,2026-08-28 20:40:59,min sediain fitur bayar pake dana dong biar ga usah qris lagii
156,Pengguna Google,5,2026-08-28 20:31:44,harga makanan nya murah2 dan banyak sekali diskon2 nya mantap sukses terus
157,Pengguna Google,1,2026-08-28 20:16:19,transaksi ggal trus pdahal saldo ovo ada
158,Pengguna Google,1,2026-08-28 19:22:18,aplikasinya makin ribet kalau pesan makanan susah aku suruh taruh di depan rumah fotoin sudah selesai sekarang sekarang harus ada id nya terus saya harus ketemu sama drivernya terus difoto wajah saya penjualan pribadi itu data
159,Pengguna Google,2,2026-08-28 18:33:55,terimakasih grab hari ini saya pertama kali pakai grab dan dipesankan temen saya mobil hemat yg sebetulnya saya memang salah membawa 3 tas dan tidak memastikan terlebih dahulu tetapi driver menambah harga yg semulanya 23 ribu menjadi 95 ribu setelah saya sampai tujuan sejujurnya saya kaget jadi mungkin saya akan memikirkan mengunakan grab apabila saya membawa sedikit barang lebih baik saya pesan pick up sekalian maaf atas ratingnya
160,Pengguna Google,5,2026-08-28 18:28:44,min tambahin tambahkan metode pembayaran dana dan gopay min
161,Pengguna Google,1,2026-08-28 18:25:17,parah lola banget gila sih gak bisa buat buru anjir dah
162,Pengguna Google,1,2026-08-28 15:44:34,emg apk gblg giliran pesen hemat aja ga dpt dpt pas udh mesen yg stmdr baru dpt pdhl jarak dket bgt anjg
163,Pengguna Google,1,2026-08-28 14:37:07,jelek kadang setel alamat ga sesuai bij terpaksa pakai grab karena di kota saya gaada transum kalau di kota kalian ada transum jangan pakai aplikasi dongo ini guys
164,Pengguna Google,1,2026-08-28 14:19:35,appaan sih ini aplikasi apdet dah tiga kali masih minta apdet kurang kerjaan bnget ku copot ajh aplikasi gak jlas nih
