,userName,score,at,content,DRIVER_OPS,APP_AND_MAPS,PRICING_AND_BILLING
2490,Pengguna Google,2,2026-05-31 13:50:38,saya sdh bertahun tahun memakai grab dan sering sekali pesan grabfood tapi bari saja saya order makan padahal saya sesuai pesan ny d antarkan d dpn tempat saya tapi dari driver tidak mau masuk padahal akses motor bisa langsung masuk k dpn tempat saya dan bilang tidak mau suruh suruh karena bukan pembantu dan bentak bentak jadi saya udh g mau lgi pake grab krn driver ny byk yg tidak ramah,NEG,ABSENT,ABSENT
1154,Pengguna Google,3,2026-07-22 06:39:03,hrsnya makanan umkm dpt diskon 10 bnyk makanan yg mau sy beli ga jd order krn mahal hrsnya beli min 70rb dpt diskon 10 makanan minuman apapun,ABSENT,ABSENT,NEG
1397,Pengguna Google,3,2026-07-12 14:25:52,nak cari grab dekat kuala lumpur susah kali mana harga tu tiba tiba naik dalam aplikasi macam lain pulak,ABSENT,ABSENT,NEG
1000,Pengguna Google,3,2026-07-28 22:41:46,kenapa belakangan ini diskon nya ga adaa malah makin maha aku yg pengguna grab niat hemat jadi makin boro,ABSENT,ABSENT,NEG
3144,Pengguna Google,3,2026-05-06 17:06:12,semakin kesini semakin gak karuan gaada promo samsek,ABSENT,ABSENT,NEG
2640,Pengguna Google,4,2026-05-26 10:48:56,apaan sii ini aplikasi grep kan bisa nanti abdet saya mau mesen greb jadi gk bisa ini harus abdet dulu,ABSENT,NEG,ABSENT
3356,Adi bayu,4,2026-04-28 14:40:05,coba grab ni malah ngasih fitur reseh mau mesen grab bike harus verifikasi wajah kamera gw yg mati kgk bisa verifikasi wajah alhasil kgk bisa mesen grab bike ujung ujungnya nelpon temen minta bantuan tolong dong itu fitur verifikasi wajahnya dipertimbangkan lagi lagian buat apa juga nyari identitas costumer atau harus bgt gitu gw beli hp baru cuman biar bisa mesen grab,ABSENT,NEG,ABSENT
3379,John Taink,4,2026-04-27 12:37:36,knp update aplikasimya lama banget lemott pula,ABSENT,NEG,ABSENT
1029,Pengguna Google,5,2026-07-27 18:36:01,alhamdulillah es jeruk dan jus nanas nya mantap seger sekali makasih mantap aneka jus dan sop buah kang ari dan pesananya cepet nyampai makasih makasih ayo temen temen cobain,ABSENT,ABSENT,ABSENT
3541,Ammardewa Tirta,5,2026-04-20 17:26:43,sangat membantu dan mudah di pahami,ABSENT,ABSENT,ABSENT
933,Pengguna Google,5,2026-08-01 01:25:43,layanan jelek lama gak ada pengemudi udah gitu gak bisa di batalin lagi jadi nyesel pesan pake grab,ABSENT,NEG,ABSENT
3565,Nova Imut,5,2026-04-19 17:40:21,grab top bgt paling banyak diskounnya sangat mmbantu bgt untuk rajyat ekonomi menengah kebawah top bgt deh,ABSENT,ABSENT,ABSENT
57,Pengguna Google,5,2026-09-01 13:24:46,pesanan diterima dengan cepat dan ojol ramah,ABSENT,ABSENT,ABSENT
1081,Pengguna Google,5,2026-07-25 15:49:38,sudah jadi aplikasi yang sangat bermanfaat,ABSENT,ABSENT,ABSENT
1409,Pengguna Google,5,2026-07-12 03:28:20,berguna untuk perjalanan jauh dan murah,ABSENT,ABSENT,ABSENT
2780,Pengguna Google,5,2026-05-20 21:55:05,bapaknya baik ramah banget kami dibantuin bawa barang2 kami trimakasih pak,ABSENT,ABSENT,ABSENT
376,Pengguna Google,5,2026-08-19 20:18:34,terimakasi atas pesanan tepat waktunya,ABSENT,ABSENT,ABSENT
1918,Pengguna Google,5,2026-06-25 21:20:56,kerjanya bagus ramah dan tepat waktu dan aman trmksh pak sehat selalu,ABSENT,ABSENT,ABSENT
2162,Pengguna Google,5,2026-06-17 16:17:48,pakai aplikasi ini sungguh luar biasa bagus,ABSENT,ABSENT,ABSENT
3583,Daniel sitorus,5,2026-04-18 22:06:59,salah satu apk yang sangat membatu,ABSENT,ABSENT,ABSENT
3355,nur holisoh,5,2026-04-28 15:26:12,suka pake aplikasi ini karena klo dkeet murah under 10k,ABSENT,ABSENT,ABSENT
1479,Pengguna Google,5,2026-07-09 06:15:05,memudahkan setiap perjalanan bikin gk ribet,ABSENT,ABSENT,ABSENT
901,Pengguna Google,5,2026-08-02 07:16:52,pelayanan tanpa ribet sat set jos jis,ABSENT,ABSENT,ABSENT
2182,Pengguna Google,5,2026-06-16 22:10:19,terimakasih ya grab sudah beberapa kali memang mengalami hal yg tdk nyaman akan tetapi tindakan dr grab sangat membantu saya terimakasih sudah memberikan sanksi kepada pihak yang tidak bertanggung jawab saya merasa terbantu dan maaf saya tega melaporkan kepada grab atas tindakan tidak menyenangkan tersebut karena menurut saya kita sama membutuhkan saya butuh jasa kalian dan kalian butuh uang dr saya semoga hal tidak menyenangkan tidak terulang lagi,ABSENT,ABSENT,ABSENT
